,Rok,Miesiąc,sum_rain
67,2005,11,4924.79999999999
68,2011,10,5954.200000000013
69,2019,1,4328.599999999995
70,2016,11,4037.199999999994
71,1982,1,5433.2000000000035
72,1951,5,5646.200000000009
73,2010,12,9080.500000000031
74,1994,3,15220.100000000051
75,1999,7,13668.30000000002
76,1966,7,15793.90000000004
77,1967,1,5849.70000000001
78,2011,2,3749.3999999999924
79,2017,1,1458.5999999999985
80,1960,12,5032.000000000004
81,2018,12,4696.399999999988
82,1961,5,14752.20000000002
83,2000,2,8138.500000000018
84,1959,9,1863.199999999997
85,1952,8,6405.600000000004
86,2007,8,12550.800000000028
87,1988,3,9298.700000000008
88,1978,9,12899.800000000054
89,1977,9,9131.800000000021
90,1973,7,14957.300000000037
91,1994,10,13392.000000000093
92,1976,8,7477.000000000022
93,2005,3,5733.200000000006
94,2005,2,6751.100000000014
95,1996,6,12108.900000000032
96,1997,9,8395.600000000008
97,2018,3,2231.3999999999955
98,1991,6,18216.500000000007
99,1965,10,2166.8999999999996
100,1956,10,9013.900000000016
101,1957,7,16607.900000000016
102,1995,5,11972.900000000029
103,1984,7,12112.200000000017
104,1984,10,4760.899999999997
105,1966,6,12097.500000000015
106,1953,6,7259.3000000000075
107,2006,10,5814.600000000004
108,1993,1,8193.000000000025
109,1962,11,11169.700000000066
110,1968,1,6843.500000000004
111,2003,4,6394.800000000006
112,1965,9,12195.900000000016
113,1964,9,8552.500000000015
114,1995,7,9682.499999999996
115,1997,2,6295.900000000024
116,1976,2,588.1000000000009
117,1966,10,7647.100000000008
118,2017,10,7478.000000000005
119,1985,3,4674.0999999999985
120,1980,4,9353.900000000014
121,1977,8,16355.700000000003
122,1975,11,3171.0999999999904
123,1967,4,7553.900000000015
124,1971,10,4719.599999999994
125,1972,6,12651.300000000037
126,2015,7,5747.800000000005
127,1965,5,17976.5
128,1982,7,9290.099999999999
129,1975,8,6734.699999999994
130,1974,7,17313.20000000004
131,1987,7,12946.400000000036
132,1987,10,5176.299999999996
133,1992,3,11388.900000000038
134,2000,1,7756.300000000053
135,1967,9,7504.800000000019
136,2004,7,19660.300000000007
137,1973,6,13159.400000000012
