,Rok,Miesiąc,avg_temp,max_temp,min_temp
210,1968,3,2.8552853598014867,7.338014888337481,-1.4138461538461546
211,1968,5,11.587220843672462,16.84000000000005,6.450570719602984
212,1952,9,11.042197802197812,15.13663003662997,7.3734065934066
213,2000,7,15.76782308784738,20.356258876039806,11.505234327449855
214,1985,6,13.733900709219906,18.228037825059054,9.560661938534334
215,2002,9,11.987393162393163,17.532200854700857,7.689102564102584
216,2020,11,4.485143165856296,7.871528903295503,1.8843327930848242
217,1988,12,0.4962221838882173,2.602863550112135,-2.0221321373124117
218,1961,6,17.19007079646019,22.810530973451325,11.223610619469007
219,1985,10,7.864334393457536,12.033280327123999,4.546819627442083
220,1975,1,2.458255675029869,4.945591397849463,0.009964157706094176
221,1971,12,2.5362897265336217,4.642941611234312,0.34944567627494466
222,2009,4,9.894500000000011,17.419041666666693,2.9420624999999836
223,1993,9,11.811929824561389,16.67040350877188,7.9078245614035785
224,1984,3,0.49647677876916213,4.7330359185541,-3.017455959734624
225,1969,10,8.117989549639221,13.465264991291342,3.7163473500870694
226,1960,3,1.4722635787151912,5.720733388475327,-2.1902398676592254
227,1956,5,12.001641199773648,16.498047538200357,6.3475947934352
228,2011,12,1.8382196815026546,4.617925683952639,-0.6059207839934628
229,2004,8,17.762162710488994,23.871758977480148,12.35067965104488
230,2002,8,18.905934656741156,25.25229528535968,13.471319272125818
231,2015,3,3.5520985084980876,9.166874783211943,-0.6160943461671837
232,2017,2,-0.6400297619047626,3.3033234126984037,-3.71061507936508
233,2016,8,16.81974193548389,23.090451612903294,11.378709677419385
234,2022,8,19.672525027808643,26.044938820912094,14.032369299221331
235,1965,3,0.45398981324278553,4.923735144312411,-3.958370118845495
236,1978,2,-3.652209660842762,-0.1591212744090431,-6.991778006166482
237,1969,12,-7.6314392059553375,-4.901439205955329,-10.82401985111657
238,2013,1,-3.264557222108066,-0.5595027737826174,-5.749229504828457
239,1996,9,9.463217726396902,12.986628131021277,6.71749518304428
240,1995,12,-4.4964404894327,-1.6181868743047807,-7.481590656284747
241,1985,8,16.99110043468316,22.422855181880518,12.4259437199726
242,1981,3,4.197323266986963,8.591123312743079,0.6097460535346612
243,1956,8,14.884861346915674,19.28803056027168,10.232823995472584
244,2014,2,2.193630573248405,6.991037306642399,-1.3534804367606936
245,1992,6,17.373333333333296,23.001250000000077,10.621163194444518
246,1986,11,4.713905325443792,8.237238658777049,1.6585996055226762
247,1977,11,4.6264734299516945,7.307826086956504,2.1681159420289817
248,2011,4,9.434810126582256,15.76164556962035,3.9270675105485244
249,1997,7,16.773958944281564,21.481055718474998,12.333978494623643
250,1998,9,12.526949494949466,17.63339393939393,8.490080808080787
251,1999,8,16.500000000000036,22.49999999999996,11.080468135326523
252,1959,12,-0.2902674386545351,1.8101461262751601,-2.6545629997242863
253,1991,10,7.28953194180899,11.860974067046254,3.5766919671094337
254,1965,7,15.746570458404008,20.552342954159517,11.040237691001764
255,1998,2,2.670847676419968,6.715490533562831,-0.6457185886402721
256,1957,8,15.69774749721914,20.016240266963347,10.76234705228028
257,2006,5,12.473516527279944,18.144563918757456,6.935882118677837
258,2007,6,17.811296296296245,23.499135802469123,11.883436213991747
259,2008,7,17.948347272003154,23.71806053365189,12.215870171246573
260,1965,1,-1.0844482173174819,1.3517657045840317,-3.9569779286927043
261,1987,5,10.920967741935515,15.998442714126892,5.859918427882829
262,2001,12,-4.395569620253164,-1.219967333605558,-7.485585953450345
263,1987,1,-11.201584933805716,-6.904158120455011,-15.51955994779035
264,1951,2,-0.19507575757575743,2.625252525252531,-2.701851851851852
265,1962,12,-4.554974533106962,-1.9493718166383667,-7.468098471986394
266,1990,8,17.147772657450144,23.55256869772991,11.144768731865573
267,1971,2,-0.11284606866002227,2.481118493909197,-2.3707641196013305
268,1952,4,9.305750915750911,15.016886446886422,3.832600732600742
269,2010,8,18.040661598520643,23.62467639202794,13.29558249434971
270,2021,1,-1.8513942044833207,1.2214871514488792,-4.454346637506845
271,1991,4,6.597557755775574,11.742145214521466,1.8622772277227675
272,1956,12,-0.2168998001712823,1.9755352554952883,-2.6906936911218877
273,2020,6,17.491904761904753,22.669682539682483,12.571375661375686
274,1985,7,16.888141753748332,22.17383007723756,11.550477055883697
275,1983,1,2.5381148478609052,4.86250285975749,0.09254175245939016
276,1969,6,15.665871794871844,20.72220512820519,10.324051282051334
277,1972,10,5.721187683284454,9.887683284457454,2.304643206256115
278,1992,8,20.48561827956995,27.515104166666745,13.82367271505381
279,1995,1,-1.827665390924011,0.9138691452524157,-4.6843265901220885
280,1986,6,15.642764705882328,20.826098039215736,10.016333333333375
281,1983,4,9.274428571428558,14.662238095238058,4.4000476190476
282,2022,5,13.256952169076735,19.5124026696329,6.858453837597316
283,2010,5,11.977965403624367,16.291598023064328,8.18410214168042
284,2003,9,12.763253527148368,19.652073535699067,7.455664814023122
285,1978,12,-3.3538640055697413,-0.1695056857739626,-6.190368995126465
286,1960,6,16.166068376068342,21.13000000000004,10.973475783475749
287,2020,3,3.573767158108798,9.564412811387891,-0.9947635993899351
288,2005,5,12.686122945830814,18.47754108338408,6.942990464597305
289,1963,8,17.99168081494065,23.5878098471986,12.603480475381998
290,2008,4,7.757469135802489,13.214876543209975,2.987510288065824
291,1985,5,13.969137497140231,19.359231297185982,8.518851521390978
292,1979,10,5.9137154792294995,11.582176839173755,1.4168716639591556
293,1954,4,4.311541218638004,8.421899641577067,0.3579211469534046
294,1987,4,6.821187739463579,11.422567049808404,2.591743295019153
295,1955,3,-1.125407382773528,2.955570335882936,-5.312504156967063
296,2008,8,17.508711288711286,23.53536463536461,12.230049950050041
297,2018,5,15.764425261244869,22.164697864607025,9.145433893684691
298,1960,2,-3.386000589448869,0.09817270851753625,-7.081373415856163
299,1985,1,-8.616765106769662,-4.86104043616538,-12.426965015901828
300,1968,9,13.243384615384615,18.340487179487216,9.081461538461571
301,1959,4,8.151310541310533,13.640284900284893,2.6750712250712216
302,2011,3,2.392609228256423,8.203899550837114,-2.06294405879952
303,2022,7,18.609566184649612,24.784037819799753,12.67030033370413
304,1991,5,9.451038007026531,14.238613861386183,4.9113701692750045
305,1993,8,16.02323588709679,21.803175403225758,10.57402553763445
306,1994,2,-2.6268415178571374,0.9331287202380975,-5.781361607142821
307,1985,2,-8.302263581488928,-4.393158953722315,-12.126760563380236
