,Rok,Miesiąc,avg_time_deszcz,avg_time_snieg,avg_time_deszcz_ze_sniegiem,avg_time_grad,avg_time_mgla,avg_time_zamglenie,avg_time_sadz,avg_time_gololedz,avg_time_zamiec_niska,avg_time_zamiec_wysoka,avg_time_zmetnienie,avg_time_wiatr_10ms,avg_time_wiatr_15ms,avg_time_burza,avg_time_rosa,avg_time_szron
0,1969,4,2.1157471264367813,0.8098850574712644,0.1067816091954023,0.003045977011494253,0.7190804597701149,6.544310344827585,0.25086206896551727,0.0038505747126436783,0.007931034482758621,0.16850574712643682,0.5172413793103449,0.466206896551724,0.10040229885057472,0.01206896551724138,1.0932183908045978,1.8064367816091953
1,1991,12,2.1347554630593137,2.4590010405827263,0.1712799167533819,0.00874089490114464,1.2857960457856399,12.724921956295528,1.4844953173777318,0.36316337148803335,0.339958376690947,0.43949011446409986,0.04890738813735692,0.8594693028095735,0.24604578563995838,0.002237252861602497,0.027575442247658687,2.642455775234131
2,1988,6,2.3848148148148147,0.012962962962962963,0.002380952380952381,0.001851851851851852,1.0738624338624336,8.508941798941798,0.0035978835978835977,0.0,0.0,0.0,0.38396825396825396,0.3120105820105819,0.025449735449735448,0.4415873015873016,3.541322751322751,0.0028042328042328043
3,1989,9,1.4234391534391535,0.01291005291005291,0.0020105820105820104,5.291005291005291e-05,1.8178835978835979,9.571746031746033,0.028465608465608465,0.00544973544973545,0.0016402116402116404,0.0011640211640211642,0.9671957671957672,0.28269841269841267,0.09904761904761905,0.03301587301587302,5.477989417989416,0.05275132275132275
4,1990,11,3.375396825396826,0.36174603174603176,0.06899470899470901,0.0016402116402116404,2.003015873015873,12.435873015873014,0.5356613756613756,0.009047619047619046,0.017777777777777778,0.18555555555555558,0.02962962962962963,0.6038095238095237,0.16079365079365082,0.0005291005291005291,1.0878835978835981,0.6276719576719577
5,1961,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019,5,3.4384229390681007,0.1368458781362007,0.023440860215053764,0.0018637992831541223,1.0591397849462367,3.1787096774193544,0.21605734767025092,0.004014336917562724,0.004516129032258064,0.16272401433691755,0.0,0.6630824372759856,0.17483870967741935,0.16021505376344083,2.0309677419354837,0.07627240143369177
7,1975,5,1.684623655913979,0.03811827956989248,0.005268817204301075,0.0013440860215053767,0.6970430107526882,5.591075268817205,0.04451612903225805,0.006559139784946236,0.0,0.01435483870967742,0.3955913978494624,0.3758602150537635,0.04102150537634409,0.41086021505376336,4.411827956989248,0.034301075268817205
8,2002,12,1.2356699751861042,3.0833126550868495,0.07227047146401985,0.009305210918114143,1.3068238213399506,14.748759305210918,2.2267990074441686,1.6088709677419355,0.19807692307692312,0.3317617866004963,0.10384615384615385,0.40403225806451615,0.1386476426799007,0.0,0.06346153846153846,2.2021091811414393
9,2019,9,2.4194074074074075,0.00814814814814815,0.0008148148148148149,0.0021481481481481486,0.7769629629629631,2.840296296296296,0.06488888888888888,0.0,0.0,0.0006666666666666666,0.0004444444444444444,0.6976296296296295,0.09414814814814815,0.10081481481481482,3.3820740740740742,0.008592592592592593
10,1985,11,1.328032786885246,2.935027322404372,0.03568306010928962,0.009016393442622953,1.8126775956284151,13.140327868852461,1.0143715846994534,0.5289617486338798,0.5391803278688524,0.3217486338797815,0.10666666666666666,1.1025136612021857,0.21437158469945355,0.01765027322404372,0.4755191256830601,1.3368306010928965
11,1963,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2004,1,0.8359617682198327,6.35406212664277,0.13667861409796897,0.0008960573476702509,1.2967741935483872,13.3479091995221,1.866726403823178,0.2794504181600956,0.5508960573476703,0.6921744324970135,0.0540621266427718,0.7253882915173238,0.19605734767025088,5.9737156511350064e-05,0.0,1.1825567502986858
13,2014,11,2.063658536585366,0.5343089430894309,0.07065040650406504,0.0021951219512195124,2.2574796747967487,15.599918699186995,0.268130081300813,0.07073170731707318,0.012520325203252032,0.007073170731707316,0.05715447154471546,0.5526829268292683,0.17195121951219516,0.0,1.7943902439024388,0.6565853658536586
14,2007,5,1.737514934289128,0.010752688172043012,0.0028076463560334527,0.002628434886499402,0.3827359617682198,2.319653524492234,0.045997610513739545,0.0,0.0,0.013859020310633215,0.006810035842293906,0.496594982078853,0.18494623655913972,0.41995221027479085,2.8477897252090796,0.26152927120669056
15,2003,6,0.8894968553459122,0.004591194968553459,0.000440251572327044,0.0007547169811320754,0.24251572327044024,1.0522641509433965,0.0015723270440251573,0.0,0.0,0.0,0.013081761006289308,0.4009433962264151,0.07522012578616352,0.2618867924528302,3.2188679245283014,0.0
16,1979,1,0.6233738762559493,5.908090957165519,0.06726599682707561,0.025330512956107883,1.4165520888418826,17.52882072977261,1.2465891062929668,0.7700158646218932,1.7366472765732415,0.6247488101533579,0.0582760444209413,0.8695399259650978,0.177895293495505,0.0,0.0,0.7941829719725013
17,1983,2,0.7979166666666667,4.824583333333332,0.06392857142857143,0.007440476190476189,1.8575000000000002,12.07892857142857,1.114404761904762,0.1944047619047619,0.6654761904761904,0.5157738095238095,0.3500000000000001,0.9611904761904763,0.21839285714285714,0.0,0.0,0.6244047619047619
18,1964,4,0.033112582781456956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021,12,1.940263157894737,2.706578947368421,0.1889473684210526,0.005,3.0265789473684213,9.37078947368421,1.9440789473684215,0.6321052631578948,0.1860526315789474,0.979736842105263,0.0,1.1935526315789473,0.37118421052631584,0.0003947368421052632,0.09986842105263159,0.9784210526315791
20,2011,1,2.047272727272727,3.1760703812316726,0.1344281524926686,0.008914956011730205,2.1900879765395898,12.570850439882696,1.4311436950146628,0.2310850439882698,0.33530791788856307,0.41988269794721406,0.035718475073313785,0.5700879765395895,0.1334897360703812,0.0,0.07325513196480937,0.8162463343108505
21,1982,12,2.6636559139784954,1.601451612903226,0.16150537634408604,0.01564516129032258,3.0059139784946223,12.754193548387097,1.6726881720430111,0.244247311827957,0.09161290322580647,0.35822580645161284,0.012473118279569892,1.1851612903225808,0.30833333333333335,0.0004838709677419355,0.145752688172043,2.411021505376344
22,2008,5,1.9048680351906162,0.03260997067448681,0.01067448680351906,0.00041055718475073314,0.6281524926686217,2.6931378299120237,0.060000000000000005,0.0007038123167155425,0.0,0.014134897360703813,0.002463343108504399,0.28903225806451616,0.06346041055718475,0.14439882697947212,3.9817008797653966,0.026979472140762465
23,2005,1,2.01057347670251,3.4970728793309442,0.1654121863799283,0.003823178016726404,0.73805256869773,8.035185185185181,0.8405615292712066,0.042114695340501794,0.369952210274791,0.653942652329749,0.03781362007168459,1.3468936678614098,0.36660692951015533,0.0005973715651135006,0.14790919952210274,1.570848267622461
24,2006,4,2.214320987654321,0.21802469135802469,0.05765432098765432,0.002098765432098766,0.7409259259259258,5.201234567901233,0.2682098765432099,0.0024691358024691358,0.006666666666666667,0.22222222222222218,0.1502469135802469,0.3733950617283952,0.12691358024691357,0.05432098765432098,2.3925925925925924,0.5665432098765432
